strategy,strategy_label,layout,number_of_tmas,n_patients,patients_per_tma_target,core_diameter_mm,usable_width_mm,usable_height_mm,min_edge_space_mm,positions_per_tma,patient_positions_per_tma,empty_positions_per_tma,control_positions_per_tma,total_positions_all_tmas,patient_positions_all_tmas,empty_positions_all_tmas,control_positions_all_tmas,mean_cores_per_patient,min_balanced_cores_per_patient,patients_with_extra_core,patient_tissue_area_mm2,all_tissue_area_mm2,total_chamber_area_mm2,patient_tissue_fraction_of_chamber_area_all_tmas,total_core_surface_fraction_of_chamber_area_all_tmas,total_core_surface_to_total_chamber_area,tissue_fraction_of_sample_area_all_tmas,orientation_penalty_percent,asymmetry_score,feasible
none,No orientation holes,rectangular,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,98,98,0,0,196,196,0,0,2.4500,2,36,55.4177,55.4177,469.2050,0.118110,0.118110,0.118110,0.118110,0.0000,0,1
four_empty_row,4 empty holes in one row,rectangular,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,98,94,4,0,196,188,8,0,2.3500,2,28,53.1557,53.1557,469.2050,0.113289,0.113289,0.113289,0.113289,4.0816,8,1
four_empty_diagonal,4 empty diagonal holes,rectangular,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,98,94,4,0,196,188,8,0,2.3500,2,28,53.1557,53.1557,469.2050,0.113289,0.113289,0.113289,0.113289,4.0816,6,1
six_empty_staircase,6 empty staircase holes,rectangular,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,98,92,6,0,196,184,12,0,2.3000,2,24,52.0248,52.0248,469.2050,0.110879,0.110879,0.110879,0.110879,6.1224,12,1
four_control_asymmetric,4 asymmetric control cores,rectangular,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,98,94,0,4,196,188,0,8,2.3500,2,28,53.1557,55.4177,469.2050,0.113289,0.118110,0.118110,0.113289,4.0816,8,1
r_empty_row_cols,Old R/GeoMx empty row + columns,rectangular,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,98,72,26,0,196,144,52,0,1.8000,1,64,40.7150,40.7150,469.2050,0.086775,0.086775,0.086775,0.086775,26.5306,24,1
none,No orientation holes,rectangular,2,80,40.0000,0.6100,22.4500,10.4500,1.0000,98,98,0,0,196,196,0,0,2.4500,2,36,57.2803,57.2803,469.2050,0.122080,0.122080,0.122080,0.122080,0.0000,0,1
four_empty_row,4 empty holes in one row,rectangular,2,80,40.0000,0.6100,22.4500,10.4500,1.0000,98,94,4,0,196,188,8,0,2.3500,2,28,54.9424,54.9424,469.2050,0.117097,0.117097,0.117097,0.117097,4.0816,8,1
four_empty_diagonal,4 empty diagonal holes,rectangular,2,80,40.0000,0.6100,22.4500,10.4500,1.0000,98,94,4,0,196,188,8,0,2.3500,2,28,54.9424,54.9424,469.2050,0.117097,0.117097,0.117097,0.117097,4.0816,6,1
six_empty_staircase,6 empty staircase holes,rectangular,2,80,40.0000,0.6100,22.4500,10.4500,1.0000,98,92,6,0,196,184,12,0,2.3000,2,24,53.7734,53.7734,469.2050,0.114605,0.114605,0.114605,0.114605,6.1224,12,1
four_control_asymmetric,4 asymmetric control cores,rectangular,2,80,40.0000,0.6100,22.4500,10.4500,1.0000,98,94,0,4,196,188,0,8,2.3500,2,28,54.9424,57.2803,469.2050,0.117097,0.122080,0.122080,0.117097,4.0816,8,1
r_empty_row_cols,Old R/GeoMx empty row + columns,rectangular,2,80,40.0000,0.6100,22.4500,10.4500,1.0000,98,72,26,0,196,144,52,0,1.8000,1,64,42.0835,42.0835,469.2050,0.089691,0.089691,0.089691,0.089691,26.5306,24,1
none,No orientation holes,rectangular,2,80,40.0000,0.6200,22.4500,10.4500,1.0000,98,98,0,0,196,196,0,0,2.4500,2,36,59.1738,59.1738,469.2050,0.126115,0.126115,0.126115,0.126115,0.0000,0,1
four_empty_row,4 empty holes in one row,rectangular,2,80,40.0000,0.6200,22.4500,10.4500,1.0000,98,94,4,0,196,188,8,0,2.3500,2,28,56.7585,56.7585,469.2050,0.120967,0.120967,0.120967,0.120967,4.0816,8,1
four_empty_diagonal,4 empty diagonal holes,rectangular,2,80,40.0000,0.6200,22.4500,10.4500,1.0000,98,94,4,0,196,188,8,0,2.3500,2,28,56.7585,56.7585,469.2050,0.120967,0.120967,0.120967,0.120967,4.0816,6,1
six_empty_staircase,6 empty staircase holes,rectangular,2,80,40.0000,0.6200,22.4500,10.4500,1.0000,98,92,6,0,196,184,12,0,2.3000,2,24,55.5509,55.5509,469.2050,0.118394,0.118394,0.118394,0.118394,6.1224,12,1
four_control_asymmetric,4 asymmetric control cores,rectangular,2,80,40.0000,0.6200,22.4500,10.4500,1.0000,98,94,0,4,196,188,0,8,2.3500,2,28,56.7585,59.1738,469.2050,0.120967,0.126115,0.126115,0.120967,4.0816,8,1
r_empty_row_cols,Old R/GeoMx empty row + columns,rectangular,2,80,40.0000,0.6200,22.4500,10.4500,1.0000,98,72,26,0,196,144,52,0,1.8000,1,64,43.4746,43.4746,469.2050,0.092656,0.092656,0.092656,0.092656,26.5306,24,1
none,No orientation holes,rectangular,2,80,40.0000,0.6300,22.4500,10.4500,1.0000,98,98,0,0,196,196,0,0,2.4500,2,36,61.0980,61.0980,469.2050,0.130216,0.130216,0.130216,0.130216,0.0000,0,1
four_empty_row,4 empty holes in one row,rectangular,2,80,40.0000,0.6300,22.4500,10.4500,1.0000,98,94,4,0,196,188,8,0,2.3500,2,28,58.6042,58.6042,469.2050,0.124901,0.124901,0.124901,0.124901,4.0816,8,1
four_empty_diagonal,4 empty diagonal holes,rectangular,2,80,40.0000,0.6300,22.4500,10.4500,1.0000,98,94,4,0,196,188,8,0,2.3500,2,28,58.6042,58.6042,469.2050,0.124901,0.124901,0.124901,0.124901,4.0816,6,1
six_empty_staircase,6 empty staircase holes,rectangular,2,80,40.0000,0.6300,22.4500,10.4500,1.0000,98,92,6,0,196,184,12,0,2.3000,2,24,57.3573,57.3573,469.2050,0.122244,0.122244,0.122244,0.122244,6.1224,12,1
four_control_asymmetric,4 asymmetric control cores,rectangular,2,80,40.0000,0.6300,22.4500,10.4500,1.0000,98,94,0,4,196,188,0,8,2.3500,2,28,58.6042,61.0980,469.2050,0.124901,0.130216,0.130216,0.124901,4.0816,8,1
r_empty_row_cols,Old R/GeoMx empty row + columns,rectangular,2,80,40.0000,0.6300,22.4500,10.4500,1.0000,98,72,26,0,196,144,52,0,1.8000,1,64,44.8883,44.8883,469.2050,0.095669,0.095669,0.095669,0.095669,26.5306,24,1
none,No orientation holes,rectangular,2,80,40.0000,0.6400,22.4500,10.4500,1.0000,84,84,0,0,168,168,0,0,2.1000,2,8,54.0454,54.0454,469.2050,0.115185,0.115185,0.115185,0.115185,0.0000,0,1
four_empty_row,4 empty holes in one row,rectangular,2,80,40.0000,0.6400,22.4500,10.4500,1.0000,84,80,4,0,168,160,8,0,2.0000,2,0,51.4719,51.4719,469.2050,0.109700,0.109700,0.109700,0.109700,4.7619,8,1
