strategy,strategy_label,layout,number_of_tmas,n_patients,patients_per_tma_target,core_diameter_mm,usable_width_mm,usable_height_mm,min_edge_space_mm,positions_per_tma,patient_positions_per_tma,empty_positions_per_tma,control_positions_per_tma,total_positions_all_tmas,patient_positions_all_tmas,empty_positions_all_tmas,control_positions_all_tmas,mean_cores_per_patient,min_balanced_cores_per_patient,patients_with_extra_core,patient_tissue_area_mm2,all_tissue_area_mm2,total_chamber_area_mm2,patient_tissue_fraction_of_chamber_area_all_tmas,total_core_surface_fraction_of_chamber_area_all_tmas,total_core_surface_to_total_chamber_area,tissue_fraction_of_sample_area_all_tmas,orientation_penalty_percent,asymmetry_score,feasible
none,No orientation holes,hexagonal,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,112,112,0,0,224,224,0,0,2.8000,2,64,63.3345,63.3345,469.2050,0.134983,0.134983,0.134983,0.134983,0.0000,0,1
four_control_asymmetric,4 asymmetric control cores,hexagonal,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,112,108,0,4,224,216,0,8,2.7000,2,56,61.0726,63.3345,469.2050,0.130162,0.134983,0.134983,0.130162,3.5714,8,1
four_empty_diagonal,4 empty diagonal holes,hexagonal,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,112,108,4,0,224,216,8,0,2.7000,2,56,61.0726,61.0726,469.2050,0.130162,0.130162,0.130162,0.130162,3.5714,8,1
four_empty_row,4 empty holes in one row,hexagonal,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,112,108,4,0,224,216,8,0,2.7000,2,56,61.0726,61.0726,469.2050,0.130162,0.130162,0.130162,0.130162,3.5714,8,1
six_empty_staircase,6 empty staircase holes,hexagonal,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,112,106,6,0,224,212,12,0,2.6500,2,52,59.9416,59.9416,469.2050,0.127751,0.127751,0.127751,0.127751,5.3571,12,1
r_empty_row_cols,Old R/GeoMx empty row + columns,hexagonal,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,112,84,28,0,224,168,56,0,2.1000,2,8,47.5009,47.5009,469.2050,0.101237,0.101237,0.101237,0.101237,25.0000,24,1
none,No orientation holes,rectangular,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,98,98,0,0,196,196,0,0,2.4500,2,36,55.4177,55.4177,469.2050,0.118110,0.118110,0.118110,0.118110,0.0000,0,1
four_control_asymmetric,4 asymmetric control cores,rectangular,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,98,94,0,4,196,188,0,8,2.3500,2,28,53.1557,55.4177,469.2050,0.113289,0.118110,0.118110,0.113289,4.0816,8,1
four_empty_diagonal,4 empty diagonal holes,rectangular,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,98,94,4,0,196,188,8,0,2.3500,2,28,53.1557,53.1557,469.2050,0.113289,0.113289,0.113289,0.113289,4.0816,6,1
four_empty_row,4 empty holes in one row,rectangular,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,98,94,4,0,196,188,8,0,2.3500,2,28,53.1557,53.1557,469.2050,0.113289,0.113289,0.113289,0.113289,4.0816,8,1
six_empty_staircase,6 empty staircase holes,rectangular,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,98,92,6,0,196,184,12,0,2.3000,2,24,52.0248,52.0248,469.2050,0.110879,0.110879,0.110879,0.110879,6.1224,12,1
r_empty_row_cols,Old R/GeoMx empty row + columns,rectangular,2,80,40.0000,0.6000,22.4500,10.4500,1.0000,98,72,26,0,196,144,52,0,1.8000,1,64,40.7150,40.7150,469.2050,0.086775,0.086775,0.086775,0.086775,26.5306,24,1
